V0,V1,pol
TRACFZM128F4295740,SOXBWOG12A8C138A74,0.0
TRACFOV128F9340D81,SOZUOAK12AB018AA82,0.0
TRACFVO128F9300F29,SOGFQTK12AB017DE14,0.0
TRACFWQ12903CF8148,SOZSKUB12AC4686766,0.0
TRACFEG128F426F4F3,SOUYGWL12A58A7A474,0.0
TRACFHZ128F4227BA4,SORPGNH12A6D4FCDE2,0.0
TRACFDC128F147F1C6,SOVNZNG12A6D4F763D,0.0
TRACFAP128E07862C1,SOVQWEN12A8C141BD9,0.0
TRACFFX128F421E641,SOJMDES12A6D4FD717,0.0
TRACFBD128F426CC34,SOMFSJZ12A8C13358D,0.0
TRACFXL128F930B28B,SONTEWC12AB0186E51,0.0
TRACFNG128F146A7F3,SOERWEA12A6D4F4CB8,0.0
TRACFTL12903C93AAC,SOULCEZ12AB0187E3C,0.0
TRACFRC12903CFEDD6,SOWQDJI12AC468AED3,0.0
TRACFOJ128F4253EFA,SOWJNKL12A81C21F17,0.0
TRACFQB12903D06042,SOWAIRN12AC468B37C,0.0
TRACFYQ128E0784150,SOSIVYG12A6D4F93A9,0.0
TRACFCQ128F4214EB6,SOVCECZ12A6D4FA35E,0.0
TRACDPS128F428BFBD,SOKCDWG12A8C1398E7,0.0
TRACDCZ128F4285AE0,SOTLYRR12A8C13951F,0.0
TRACDSI128F425C0B4,SOAQCDC12A8C139378,0.0
TRACDJT128F42324C7,SOCZQSZ12A8AE4604D,0.0
TRACDZL12903D024D2,SONTUMS12AC468A9AA,0.0
TRACDLK12903CE71B7,SOPPEBK12A8C13B9CE,0.0
TRACDWG128F428B068,SONZEZK12A8C13A421,0.0
TRACDDN128F92FFADC,SOOOUDM12AAA15EE2D,0.0
TRACECN128F9310E97,SOSYMSX12A6310DFE2,0.0
TRACEGL12903CEE923,SOKVTFS12A8C1336D6,0.0
TRACEBJ128EF343585,SOCUDXX12A58A76EF9,0.0
TRACEPP128F93576FC,SOEBXFH12AB018607F,0.0
TRACEQQ128F426C3E3,SOAWMWQ12A8C13AF1D,0.0
TRACEDP128F145F7BB,SOCSEYN12A6D4F8178,0.0
TRACETS128F9313A75,SOGCMMV12AB0184BBB,0.0
TRACLMN128F92D2B6E,SORKSWH12A8C1452B4,0.0
TRACLRV128EF33FAB8,SOGEBZO12A67ADF488,0.0
TRACLDC128F427ADC7,SOVXYYO12A8C13B254,0.0
TRACLMT12903CA1F5C,SOYALFX12A8C143637,0.0
TRACLLH128F92E1F2F,SOWXWOS12A8C143605,0.0
TRACLRS12903CE9386,SOLHVZC12A8C14307F,0.0
TRACLDF128F423C337,SOFOOEV12A8AE44CA3,0.0
TRACLXN128F931A74C,SOHBOWM12AB018446A,0.0
TRACLPE128F4287687,SOCMHBT12A8C13D634,0.0
TRACLUV128F9342D02,SOYNESO12AB018782B,0.0
TRACLUJ128F422DDA1,SOHGYDF12A6D4FCD5E,0.0
TRACLHC128F9343C39,SOBHIVO12AB0182476,0.0
TRACLCX128F4251463,SOHPWKA12A8C13864B,0.0
TRACPUC128F92ED1D1,SOFWMDO12A8C135956,0.0
TRACPRG12903CB8E83,SOIKOBP12AB01897DA,0.0
TRACPKD128F14539CD,SOKWIDU12CF5F87DA3,0.0
TRACPIC128E0792500,SOPOFBK12AF729EEBE,0.0
TRACPEU128F426EB1F,SOPOZOQ12A58A76660,0.0
TRACPVU128F933FDD5,SOGIZJH12AB01822B5,0.0
TRACPYD128EF362285,SOBXFLQ12A6D4F3578,0.0
TRACPNW128F92F8C8E,SOCSFMW12AB01826F2,0.0
TRACPZH128F9311764,SOQLXXN12AB01800CD,0.0
TRACWYD128F1465B4A,SOPAZAM12A6D4F6F05,0.0
TRACWSJ128F42739DE,SOUHBIP12AF72A14DA,0.0
TRACWON128F429BE8D,SORUPLP12A8C14177E,0.0
TRACWBS128F932C993,SODHSPZ12AB0185645,0.0
TRACWCG128F9344150,SOAUAOA12AB018776D,0.0
TRACWCV128F429D196,SOETFQZ12A8C13C7DA,0.0
TRACWVL128F93016B4,SOUWBCT12AB01846F6,0.0
TRACWNC128F42ABB99,SOQYHCL12A8C13E707,0.0
TRACWFA128F4265BDF,SOCFESM12A8C131EA8,0.0
TRACWBO128F92F322F,SORUWYJ12AB0181EBF,0.0
TRACWBD12903CAF664,SOTVSQV12AB018767D,0.0
TRACWRW12903CC3CA2,SOXDMYX12AB01890CA,0.38541666666666663
TRACWEH128F1456890,SOVUDJB12A6D4F68C4,0.0
TRACZUC128F92F0337,SOSIVPO12AB017D5E9,0.0
TRACZJA128F429E665,SOKBCLG12A8C13DAA5,0.0
TRACZDY128F92EE2F1,SOXUAQZ12AB0184442,0.0708333333333333
TRACZDR128F14599BC,SOHXASU12A6D4F6B1C,0.0
TRACZPB128F92FBE3F,SOOPBZY12AB018379D,0.0
TRACZEZ12903CF673A,SOMSHMQ12A58A7EC79,0.0
TRACGAM128F92FBA44,SOIVHQA12AB017DBDB,0.0
TRACGDB128F93509E0,SOSWEUH12AB0186F22,0.0
TRACGOI128F92FE771,SOQBETA12CF5702399,0.0
TRACGFA128F9364E0C,SOMMUOG12AB01821FF,0.0
TRACGXQ128F1457F81,SOHNBNW12A6D4F7323,0.0
TRACGHL128F933FF2D,SOVTZLS12AB0184CB5,0.0
TRACGHY12903CE8831,SODJOWL12AC468D389,0.0
TRACGLI12903CE2C06,SOBFZDQ12AB0188B04,0.0
TRACTWW12903CB7550,SOYHZWP12A58A7C176,0.0
TRACTWH12903CE2E46,SOEQKKP12AC3DFA097,0.0
TRACTSM128F4221007,SONATVQ12A6D4FAF73,0.0
TRACTTU128F423E9BC,SOYUMRC12A8AE452DE,0.0
TRACTQD128F14B0F9D,SOZNDLW12A6D4FB4C5,0.0
TRACTIU12903D1614D,SORSIBU12AC468E2E3,0.0
TRACTHF128F4295A22,SORLIQE12AF72A3375,0.0
TRACTBH128F422F31B,SOUKEVR12CF4FFF27D,0.0
TRACTLX128F42A51F6,SOWXKLQ12A8C13C221,0.0
TRACTMI128F931B412,SOUKQWD12AB017F89D,0.0
TRACTOP128F147AAE1,SOEWLTH12A6D4F8E29,0.0
TRACTIE128F92E473B,SOOLVIB12A8C1408E2,0.0
TRACTUH128F92C93A3,SODWZGN12A8C142A38,0.0
TRACKXA12903CB6D40,SOYJCVS12AB01869B2,0.0
TRACKAK128F1458461,SORFAAB12A6D4F7EAC,0.0
TRACKAP128F425B741,SOSJQKV12A8AE46270,0.0
TRACKVZ128F4285793,SOBJUNO12A8C13D478,0.0
TRACKVM128F4275B6E,SOHEJGY12A8C13A71E,0.0
TRACKRY128F92EE3C9,SOYYXTC12A8C143393,0.0
TRACKNZ12903CCE63A,SOMQZOX12AB01896D6,-0.030130853994490364
TRACKWV128F934B6B0,SOHEYVW12A8C131DAF,0.0
TRACKKI128F930CA83,SOIUCMV12AB017DEDB,0.0
TRACKML128F428C905,SODGUVC12A8C142EBA,0.0
TRACQUB128F427BA42,SOKXTEN12A8C13B438,0.0
TRACQML128F42AE513,SOIZEZF12A8C13F7E9,0.0
TRACQDO12903CAE2DA,SOHERKR12AB018B158,0.0
TRACQIR128F42BAA06,SOUHRQN12A58A7C12A,0.0
TRACQFK128F14658B3,SOAOWLA12A6D4F7DD4,0.0
TRACQKE12903D00CC7,SOERSTG12AC4685824,0.0
TRACQIS128F92CBED8,SOGRKKB12A8C14595A,0.0
TRACQIL128F931B8AD,SOUYIJX12A6D4F96CE,0.0
TRACUEE128F427EA05,SOSMURO12A8C13BBFE,0.0
TRACUDB128F932030C,SOZQILP12AB01869AB,0.0
TRACUXJ128E0785F2B,SOITFPA12A670201C6,0.0
TRACUNV128F422663D,SORMKFV12A6D4FDC19,0.0
TRACUGA128F14ACFB8,SOFXCLQ12A6D4FA0DC,0.0
TRACUWW128F4248CAA,SOVYTTY12A8C131260,0.0
TRACULD128F935A67B,SOBXGKH12AB017DDB6,0.0
TRACUIZ128F92D984B,SOHWXJW12A8C144BE0,0.0
TRACUMR128F932C675,SOUXAAJ12AB0189695,0.0
TRACULH128F42287AB,SOWDNTQ12A8AE47078,0.0
TRACUUJ128F422EFF8,SOADEVO12A8AE4865B,0.0
TRACUCT128F422BC2F,SOIDERN12A58A795CC,0.0
TRACUVF128F4250C51,SOSTONA12A81C22B18,0.0
TRACUCQ128F92FFBF7,SOUAFSX12AB017B642,0.0
TRACUJR12903CA4D39,SONQTUH12AF72A47A7,0.0
TRACVSS128E07846A7,SOGWNKK12A6701D95A,0.0
TRACVFF12903CF055A,SOWJCAE12AC46887E7,0.0
TRACVGF128F4277847,SOREYUK12A58A7A253,0.0
TRACVTG128F92FE985,SOZFCZN12AB017E894,0.0
TRACVBQ128E07855EE,SOSKVKM12A6702153C,0.0
TRACVTK128F4288966,SORCPSR12A8C13E228,0.0
TRACVWI12903CA6A82,SORNEPM12AB0183895,0.0
TRACVZM12903CEAD72,SOYAJDV12AB01828DA,0.0
TRAJCVA128F426C51D,SOADZHL12A8C13CE75,0.0
TRAJCYW128F92EEC32,SOZZWBA12A8C13F403,0.0
TRAJCLY128F930F893,SOMAFMA12AB0182DB4,0.0
TRAJCHY128EF349619,SONURCP12A58A784D6,0.0
TRAJCVY128F425EE35,SOJGVAK12A8AE46A93,0.0
TRAJCDQ128F92C2B40,SOKXISM12A8C14335E,0.0
TRAJCJT128F4269E0C,SOYVWTC12A8C135865,0.0
TRAJCIR128F146ABA7,SOJHUPK12A6D4F69DC,0.0
TRAJCOV128F92FDF3F,SOIMJSO12AB0182125,0.0
TRAJCZE128E0785987,SOWLAHO12A6701E3D1,0.0
TRAJCBF128F931B8BF,SOPWTLC12AB0184E34,0.0
TRAJJCI12903CE53D7,SODPMBU12A58A7B076,0.0
TRAJJMB128F426BF4E,SOWMUWV12A8C132F2B,-0.0012543855376555904
TRAJJBG128F148A7CA,SOVXGLT12A6D4F952C,0.0
TRAJJPB128F1456D6A,SOZBDWA12A6D4F7777,0.0
TRAJJMN128F9321946,SOQCSHQ12AB0182F0F,0.0
TRAJJIG128F1474EF0,SONCUSG12A6D4F9316,0.0
TRAJJYB12903CE5A10,SOEGCMJ12A58A7B0E6,0.0
TRAJJNB128F42A0A4F,SOQORHS12A8C13B8BD,0.0
TRAJJZZ128F930B88C,SOFMTWO12AB0183C58,0.0
TRAJJON128F426EB30,SOUESGM12A8C136D78,0.0
TRAJIUK128F42668E6,SOHIWMN12A8C1315B6,0.0
TRAJIBJ128F930D55B,SONMMMW12AB017DACF,0.0
TRAJIKY128F932AD73,SORIYMI12AB0185013,0.0
TRAJIIF128F92E7FB1,SOFBRDB12AB017F2C2,0.0
TRAJIIR128F149AE01,SOPESRK12A6D4F8B92,0.0
TRAJIDY128F931C89D,SOZOTQZ12AB0187D9A,0.0
TRAJHHE128F146815C,SOJBCMD12A6D4F68B5,0.0
TRAJHEN128F92CC43E,SOVDTAP12A8C13FE3D,0.0
TRAJHYF128F1451DDF,SOQMFPS12A6D4F76D7,0.0
TRAJHRC128F9340CFA,SOVAZZK12AB018935A,0.0
TRAJHOM128F93080EB,SORWXCN12AB01811BC,0.0
TRAJHSS128F930F73A,SODWYJL12A58A7BCE4,0.0
TRAJHSM12903CBFCCD,SOJXYUF12AB0188969,0.0
TRAJHCO128F42570C1,SOBGXEU12A8AE45903,0.0
TRAJHEE12903CB937A,SOGZANN12AB018736A,0.0
TRAJHCS128F93192B5,SOATZSD12A8C134212,0.0
TRAJHKT128F427FDCD,SOABPYH12A8C13CC48,0.0
TRAJHAH128F9314177,SOEAYQZ12AB0186BB1,0.0
TRAJHDR128F92FA863,SOHUDTL12AAFF43497,-0.030130853994490364
TRAJHMX12903CD42C1,SOVTAOG12AB018B126,0.0
TRAJHFZ12903CE3121,SOPYZWR12AB0187A36,0.0
TRAJHHJ128F4279625,SOCUSNQ12A8C138A86,0.0
TRAJXAY128F4239110,SOAKZHG12A8AE47669,0.0
TRAJXNB128F4261F43,SOJMLXA12A8C12FB20,0.0
TRAJXBS12903CDCE2C,SOQFVIO12AB018BA75,0.0
TRAJXED12903CC548C,SOFVXQF12A6D4F82F2,0.0
TRAJXSF128F42802FE,SOMWQZF12A8C13C27E,0.0
TRAJXGX12903D077EC,SOUNPTA12AB0183132,0.0
TRAJXHP128F9344F44,SOMUJKH12AB01842E2,0.0
TRAJXUS128F9309CEE,SONJBDA12AB0183CFD,0.0
TRAJXNN128E078F945,SOUFLXO12A6701DD54,0.0
TRAJXOD12903CFC833,SOGNDRY12AC9075738,0.0
TRAJXOF128F933407C,SOODPLC12AB0182FDE,0.0
TRAJXRE128F425A63C,SOJGPVN12A8C136BCF,0.0
TRAJXQL128F428CAF0,SOTJEIC12A8C139054,0.0
TRAJXYE128F92C9BD7,SOXYLNP12A58A77347,-0.625
TRAJXKX128F428021C,SOZHDIA12A58A80F93,0.0
TRAJOIH128F14B08F7,SOTLRMZ12A58A7DED5,0.0
TRAJOPN128F423BEC3,SOCVOFW12A6D227200,0.0
TRAJOWK128F4263735,SOCOLNA12A8C131D81,0.0
TRAJOER128F92F145A,SOFDNHE12AB0181EF1,0.0
TRAJONM128F92F543D,SOQHAQM12A58A7A25B,0.0
TRAJOPD128F92FC400,SOVQSBI12AB017F0E5,0.0
TRAJOES128F4245ED3,SOQEDJS12A8C132F42,0.0
TRAJOZN128F92D688E,SOBADNN12AAF3B1F5D,0.0
TRAJOPH12903CE6732,SOQHYAX12CF530D50C,0.0
TRAJODO12903CD7591,SOXSNIW12AB018681A,0.0
TRAJOUG128F4276434,SOIAZPH12A8C135BA6,0.0
TRAJOYN128F9308712,SONBIEL12AB018234B,0.0
TRAJOLQ128EF346088,SOKZFPW12A67FFB3C6,0.0
TRAJMZL12903CA4807,SOJQLZR12AB018909F,0.0
TRAJMQE128F9322DDD,SOWMJNZ12AB017E8CD,0.0
TRAJMXE128EF34BA9E,SOBGPTR12A6BD548CD,0.0
TRAJMDE128F14898B2,SOGPDBF12A6D4F7FAB,0.0
TRAJMEL128F4262B4A,SOAIJKC12A8C131D6F,0.0
TRAJRYA12903CDA1F2,SOIVCUR12AB018E3A2,0.0
TRAJRMZ128F932DC12,SOGJVNZ12AB0185170,0.0
TRAJRYM128F92DF1A6,SOUATZO12AAF3B23A7,0.0
TRAJRMC12903CA7ECF,SOENIVE12AB0187ACE,-0.030130853994490364
TRAJRTY128F426CF1F,SOCLCWX12A8C133EC0,0.0
TRAJRXL128F42760EC,SOHEGVA12A8C13D81C,0.0
TRAJRLX12903CC0D7A,SONUJOP12AB018E6C9,0.0
TRAJRBF12903CDCA3F,SOKOFFJ12AB018F6A1,0.0
TRAJRZL128F42699D5,SOOCZVQ12A8C13C7CE,0.0
TRAJRMO128F421FA6F,SOFRPPE12A6D4FAB3E,0.0
TRAJRIT128F92F4352,SOUVKXW12A8C1427AC,0.0
TRAJYRB128F1491A59,SOSNIRJ12A6D4FA0BD,0.0
TRAJYHT12903CC8F90,SOPMACA12AB018B52A,0.006898734933282365
TRAJYTQ12903CDEF60,SOVYKHK12AC3DF4D3A,0.0
TRAJYKE128F92E25D7,SOYPQHV12A67ADF698,0.0
TRAJYXI12903CF8185,SODYLAQ12AB0181CDC,0.0
TRAJAVF12903CD4825,SOZEIRC12AB018A634,0.0
TRAJAHW128F429691D,SOVFCKE12A8C141CF4,0.0
TRAJADN128EF3453AE,SOAOTOX12A58A7C308,0.0
TRAJATQ128F92F6DC2,SOGZIDZ12AB017F90F,0.0
TRAJAYH128F427ADE6,SOGQXFS12A8C138FA1,0.0
TRAJAPH128F4271357,SOWGAUD12A58A76907,0.0
TRAJAXB128F92C65CD,SOBMHDZ12A58A79364,0.0
TRAJAAV128F92DCF5F,SONCMAJ12AB017A938,0.0
TRAJAZS12903CE7594,SOMCMRN12AC3DF400A,0.0
TRAJARM128F426379B,SOMMAVY12A8C1327AF,0.0
TRAJATA128F4266FC5,SOYJKEB12A8C138723,0.0
TRAJAZP128F4290FF9,SOEFTHD12A8C13EC47,0.0
TRAJABU128F4239037,SOQHIVV12A6D4FB2BE,0.0
TRAJASJ128F1492899,SOLGASB12A58A79460,0.0
TRAJAGW128EF3664E1,SOMBWDW12A6D4F7248,0.0
TRAJAZY12903CDD671,SOXIBUG12AB018914B,0.0
TRAJBQO128F421FFE8,SOSZOXP12A6D4FB9A9,0.0
TRAJBJG128F14A1EA1,SOMJNVK12A6D4FC4B2,0.0
