"","V1","V2","V3","V4"
"27",1956,"TRBHOXV128F92FBB72","Eddy Arnold","Molly Darling"
"28",1956,"TRAJHCS128F93192B5","Georges Brassens","Auprès De Mon Arbre"
"29",1956,"TRAFTOE12903CF3F5E","Georges Brassens","Colombine"
"30",1956,"TRAHSYA128F428143A","Screamin' Jay Hawkins","I Put a Spell on You"
"31",1957,"TRAZIWR128F4234282","Dells","Why Do You Have to Go"
"32",1958,"TRAITXM128F428E1F0","Elizabeth Cotten","Freight Train"
"33",1958,"TRAOVDL128F931FB30","Jackie Wilson","If I Can't Have You"
"34",1958,"TRAKVQI12903CB7343","Jackie Wilson","I'm Wanderin'"
"35",1958,"TRBCWCU12903CFB6A2","Jackie Wilson","Why Can't You Be Mine"
"36",1958,"TRBBJKY128F931FB24","Jackie Wilson","It's So Fine"
"37",1958,"TRAZPJO12903CB4EA6","Little Jr. Parker","Mother-In-Law Blues"
"38",1959,"TRAROPS128F92F09A5","Carl Belew","Am I That Easy To Forget"
"39",1959,"TRAOLUA128F422BB1D","Connie Francis","Baby's First Christmas"
"40",1959,"TRBBSFL128F931798C","Don Gibson","(Prayer Is The Key To Heaven) Faith Unlocks The Door"
"41",1959,"TRBDHUE128F9317991","Don Gibson","Evening Prayer"
"42",1959,"TRAXXJZ12903CF1731","Jackie Wilson","Each Time (I Love You More)"
"43",1959,"TRAGXUZ128F9311745","Johnny Cash","You Tell Me"
"44",1959,"TRBCSVE12903D13D5C","Johnny Horton","The Battle Of New Orleans"
"45",1959,"TRBHJXG12903D15879","João Gilberto","Manhã de Carnaval (Morning of the Carnaval) (Cantando As Músicas do Film Orfeo do Carnaval)"
"46",1959,"TRAOMIC128F92F2B0B","Mongo Santamaria","Los Conguitos"
"47",1960,"TRAYWSL128F4222D80","Brenda Lee","Against My Will (LP Version)"
"48",1960,"TRAWUMN128F4222D88","Brenda Lee","Your One And Only (LP Version)"
"49",1960,"TRAQVCT12903CD7F32","Don Gibson","Release Me"
"50",1960,"TRAJHHE128F146815C","Freddie King","Hide Away"
"51",1960,"TRAPBPP128F92F07BF","Hank Locklin","Send Me The Pillow You Dream On"
"52",1960,"TRAGVTG128F92FE9E2","Jerry Butler","He Will Break Your Heart"
"53",1960,"TRATONC128F4299381","Louis Prima And Keely Smith","I've Got You Under My Skin"
"54",1960,"TRAHBWE128F9349247","The Shirelles","Dedicated To The One I Love"
"55",1960,"TRAAYGH128F92ECD16","The Shirelles","Will You Love Me Tomorrow"
"56",1961,"TRALNES128E078B122","Bob Newhart","Herb Philbrick - Counter Spy ( LP Version )"
"57",1961,"TRACOIZ128F933E368","Faye Adams","My Greatest Desire"
"58",1961,"TRAACOW128F933E35F","Faye Adams","Crazy Mixed Up World"
"59",1961,"TRAAHJX128F9312B83","Kai Winding","Mangos"
"60",1961,"TRBGDND128F9312B81","Kai Winding","Doodlin'"
"61",1961,"TRAPQNA128F93000EB","Patsy Cline","A Poor Man's Roses"
"62",1961,"TRAYWHE128F92E9D6A","Roy Drusky","Three Hearts In A Tangle"
"63",1962,"TRALKHJ128F92E9D36","Leroy Van Dyke","If A Woman Answers"
"64",1962,"TRADZQV128F14A5760","Little Eva","The Loco-Motion"
"65",1962,"TRAUZOU128F4260C88","Mario Telles","Nanã"
"66",1962,"TRAWOPG128F92EF9A1","The Exciters","Tell Him"
"67",1963,"TRABLOM128F426BE8A","Boots Randolph","Lonely Street"
"68",1963,"TRBBYFJ128F42A22D4","Jim Reeves","Jingle Bells"
"69",1963,"TRARBGR128F42264D1","Lesley Gore","It's My Party"
"70",1963,"TRAAGJV128F1464090","Lesley Gore","It's My Party"
"71",1963,"TRAJCJT128F4269E0C","Major Lance","Come See"
"72",1963,"TRAVFOA128F92F2B38","Mongo Santamaria","Watermelon Man"
"73",1963,"TRAZDQQ128F93590E2","Ned Miller","From a Jack To a King"
"74",1963,"TRBGKZD12903D13D23","Ned Miller","From A Jack To A King"
"75",1963,"TRAEQZR128F92E9D73","Skeeter Davis","Foggy Mountain Top"
"76",1963,"TRAITOL128F148528B","THE CHIFFONS","When Summer's Through"
"77",1963,"TRAKKTE128F934B0D9","THE CHIFFONS","One Fine Day"
"78",1963,"TRAKVLY128F426E6AD","THE CHIFFONS","Did You Ever Go Steady"
"79",1963,"TRARNAS128EF355915","The Impressions","I Found You"
"80",1963,"TRANHKC128F9309BF4","The Rolling Stones","Fortune Teller"
"81",1963,"TRBBCOM128F92F1208","The Shirelles","Foolish Little Girl"
"82",1964,"TRBIEXO128F429233D","Floyd Cramer","Near You"
"83",1964,"TRAVVSL128F92F607D","Herb Alpert And The Tijuana Brass","Adios_ Mi Corazon"
"84",1964,"TRATHDO12903CAF45B","Les Hou-Lops","Quand on est amoureux"
"85",1964,"TRBFNMW12903CBF3CE","The Beatles / Tony Sheridan","Ain't She Sweet"
"86",1964,"TRAERPT128F931103E","The Rolling Stones","Time Is On My Side"
"87",1964,"TRAKBON128F9311039","The Rolling Stones","Around And Around"
"88",1964,"TRBHZNF128F14989FE","The Ronettes","(The Best Part Of) Breakin' Up"
"89",1964,"TRAACSL128F93462F4","The Shangri-Las","Twist and Shout"
"90",1964,"TRAUPEE128F425943A","The Shangri-Las","Bull Dog"
"91",1964,"TRAUZVU12903CC050D","The Shangri-Las","Remember (Walkin' In the Sand)"
"92",1964,"TRAZZON128F930D2DC","Vince Guaraldi","Room At The Bottom"
"93",1964,"TRATTGP128F932854B","Vince Guaraldi","Corcovado"
"94",1964,"TRAOWYT128F930D2DB","Vince Guaraldi Trio","Yesterdays"
"95",1965,"TRAXULE128F9320132","Fontella Bass","Rescue Me"
"96",1965,"TRBCMDH128F92FA444","John Hammond","Big Boss Man"
"97",1965,"TRAUTXO128F4263C8E","Loretta Lynn","I'd Rather Have Jesus"
"98",1965,"TRAEGMO128F146D5F6","Righteous Brothers","See That Girl"
"99",1965,"TRBAUFY128F4260113","Sleepy John Estes","Lawyer Clark Blues"
"100",1965,"TRBAHSQ128F1492A8F","Small Faces","What'Cha Gonna Do About It"
"101",1965,"TRAZDTT128F9346306","The Shangri-Las","Out in the Streets"
"102",1965,"TRASJMT128F9314118","Vinícius de Moraes","Minha Namorada"
"103",1966,"TRAEEGO12903CF7D27","Chris Farlowe","Paint It Black"
"104",1966,"TRAPQWM128EF342970","Irwin Goodman","Raha ratkaisee"
"105",1966,"TRAFXPQ128F425385C","Jerry Goldsmith","Main Title"
"106",1966,"TRALKHT128F148833B","John Mayall & The Bluesbreakers","All Your Love"
"107",1966,"TRBFNDW128F9359ECE","Mississippi John Hurt","Coffee Blues"
"108",1966,"TRAAELO128F9302DD1","Perrey And Kingsley","Spooks In Space"
"109",1966,"TRANQRQ12903CC4BBB","Sandy Posey","Touch You"
"110",1966,"TRAMPCW128F92CC022","Simon & Garfunkel","A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission)"
"111",1966,"TRAYMKM128F4277046","Simon & Garfunkel","Patterns"
"112",1966,"TRAJSCE128F92F9AC6","Small Faces","It's Too Late"
"113",1966,"TRASARO128F145E40F","Small Faces","My Mind's Eye"
"114",1966,"TRAWWHM128F9310FD7","The Rolling Stones","Think"
"115",1967,"TRBFWSU12903CC36BE","Bill Cosby","Wives ( LP Version )"
"116",1967,"TRAOKYH128F14852C0","Bobby Hutcherson","Maiden Voyage (Rudy Van Gelder Edition) (2006 Digital Remaster)"
"117",1967,"TRAUZLI128E0791D51","Burt Bacharach","Are You There (With Another Girl)"
"118",1967,"TRAVMXQ128E0785F82","Chris Clark","If You Should Walk Away"
"119",1967,"TRAGEXH12903CB4C10","Dolly Parton","I'm Not Worth the Tears"
"120",1967,"TRABFGJ12903CF6A75","Eddy Arnold","Just A Little Lovin' (Will Go A Long Way)"
"121",1967,"TRBDNGV128F42895AE","Eddy Arnold","What's He Doin' In My World"
"122",1967,"TRAGQQK128F42561AB","Edu Lobo","Canto Triste"
"123",1967,"TRBHSVR128F9324499","Frank Sinatra","Quiet Nights Of Quiet Stars [Corcovado] [The Frank Sinatra Collection]"
"124",1967,"TRBDJUQ128F148C4A5","James Last","Games That Lovers Play"
"125",1967,"TRBCLGH12903CCA1D0","Jerry Reed","Woman Shy"
"126",1967,"TRACXIQ128F92E25AB","John And The Bluesbreakers Mayall","A Hard Road"
"127",1967,"TRBEUKI128F9318306","Mississippi John Hurt","Monday Morning Blues"
"128",1967,"TRARYPU128F42552CF","Orquestra","Tema Da Desilusão (Garota De Ipanema)"
"129",1967,"TRATQWS128F931E5EA","Pink Floyd","Matilda Mother (Stereo) (2007 Remaster)"
"130",1967,"TRBCDHQ128F92F9AE8","Small Faces","Itchycoo Park"
"131",1967,"TRAVHIA128F1494B0C","Sonny James","I'll Never Find Another You"
"132",1967,"TRAYJPA12903CC54B4","T-Bone Walker","I'm Still In Love With You"
"133",1967,"TRACWCV128F429D196","The Box Tops","Neon Rainbow"
"134",1967,"TRAQXKZ128F429D175","The Box Tops","People Make The World"
"135",1967,"TRACWBS128F932C993","The Creation","Hey Joe"
"136",1967,"TRBDWBW128F932C973","The Creation","Try And Stop Me"
"137",1967,"TRAKJOW128F1489DE4","The Doors","Strange Days ( LP Version )"
"138",1967,"TRANCWY12903C9C82C","The Harvey Averne Dozen","The Think Drink Theme"
"139",1967,"TRBDHYG12903CE49CC","The Mystic Moods Orchestra","Gay Ranchero"
"140",1967,"TRAXUBG128F9332164","The Sonics","Love Lights"
"141",1967,"TRBHHGM12903CFD7C3","The Sonics","On The Road Again"
"142",1967,"TRAUQFT128F4270904","The Statler Brothers","Shenandoah"
"143",1967,"TRAYADL128F14A4735","Tommy James And The Shondells","I Like The Way"
"144",1968,"TRANZKG128F429068A","Albert King","Watermelon Man"
"145",1968,"TRAXXVN128E0791AE4","Arthur Brown","Child Of My Kingdom"
"146",1968,"TRBHFAQ128E0791ADA","Arthur Brown","Time / Confusion"
"147",1968,"TRAZBJZ128F932B37B","Bill Cosby","Hold On I'm A Comin' (Album Version)"
"148",1968,"TRABLSO128F14A4707","Bobbie Gentry","Courtyard"
"149",1968,"TRAWPQO128F14604D1","Bobbie Gentry","Reunion"
"150",1968,"TRATFEN128F14A3A6E","Bobbie Gentry","Ace Insurance Man"
"151",1968,"TRAIAQY128F4291ECC","Earl Hooker","Love Ain't A Play Thing"
"152",1968,"TRAEHTK128F14A4706","Glen Campbell And Bobbie Gentry","Mornin' Glory"
"153",1968,"TRBGSJX128F92F863D","Groundhogs","Still a Fool"
"154",1968,"TRAKWOG128F425F89A","Jacques Dutronc","Transes-Dimanche"
"155",1968,"TRANKDX128F42668C0","Lee Michaels","Fell In Love Today"
"156",1968,"TRBCQWN12903CDA7EC","Louie Ramirez","It's Not What You Say"
"157",1968,"TRAJIBJ128F930D55B","Perrey And Kingsley","The Minuet Of The Robots"
"158",1968,"TRAHULA128F92CC05F","Simon & Garfunkel","Old Friends"
"159",1968,"TRAUWCV12903CEE9C5","Small Faces","Spoken Word / Ogdens' Nut Gone Flake / Spoken Word"
"160",1968,"TRACLRS12903CE9386","Tammy Wynette","Stand By Your Man"
"161",1968,"TRAVGZS128F9338603","Tammy Wynette","I Stayed Long Enough"
"162",1968,"TRBHEOR128F429D1B0","The Box Tops","I Can Dig It"
"163",1968,"TRAEFDK128F1473B92","The Impressions","This Is My Country"
"164",1968,"TRARYCL128F1456224","The Moody Blues","Tuesday Afternoon"
"165",1968,"TRADYYK128F145FE74","The Velvet Underground","I Heard Her Call My Name"
"166",1968,"TRAPOEA12903CDBB5F","Tiny Tim","Stay Down Here Where You Belong"
"167",1969,"TRAPARR12903CE2125","Albert Ayler","Music Is The Healing Force Of The Universe"
"168",1969,"TRAWZFC128F92E78EF","Delroy Wilson","Who Cares"
"169",1969,"TRARCAU128F9337F05","Gershon Kingsley","Trumansburg Whistle"
"170",1969,"TRBCZKX12903C9E64C","Iggy And The Stooges","1969"
"171",1969,"TRANQEB128F92C46CC","Jacques Dutronc","Les Femmes Des Autres"
"172",1969,"TRAQRRD128F425F8E7","Jacques Dutronc","Laquelle Des Deux Est La Plus Snob"
"173",1969,"TRBCVVB128F92EB308","Jacques Dutronc","Les Femmes Des Autres"
"174",1969,"TRBBRJN128F425C040","Jacques Dutronc","L'Aventurier"
"175",1969,"TRAYJDF128F426B0DE","Janis Joplin","Maybe"
"176",1969,"TRAEVIK12903CCC7E2","Jimi Hendrix","Fire"
"177",1969,"TRAYXZF128F425D645","Johnny Cash","A Boy Named Sue"
"178",1969,"TRAPTRH128F4271659","Johnny Winter","Be Careful With A Fool"
"179",1969,"TRASPTN128F14B0EF2","MC5","Intro 2/ Kick Out The Jams (LP Version)"
"180",1969,"TRAMHJH128E0793259","Spooky Tooth","Evil Woman"
"181",1969,"TRBFHZG128F9310D3C","Spooky Tooth","Waitin' For The Wind"
"182",1969,"TRAAABD128F429CF47","The Box Tops","Soul Deep"
"183",1969,"TRACXGH128F931686C","Tommy James & The Shondells","Crimson And Clover"
"184",1970,"TRBGVOJ12903CDA92E","Bobby Valentin","Yo Soy Abacua"
"185",1970,"TRASZSF128F428B8F3","Charley Pride","(I'm So) Afraid Of Losing You Again"
"186",1970,"TRAGXBL128F149EBA2","Crabby Appleton","Go Back"
"187",1970,"TRAGKVI128F1459B5E","Francis Lai","Search For Jenny"
"188",1970,"TRBDYIF128F4294F19","Francis Lai","Concerto No.3 In D: Allegro"
"189",1970,"TRAHPUC128F92D1EC3","Hot Tuna","Death Don't Have No Mercy"
"190",1970,"TRBETVK128F4288B49","Hot Tuna","Hesitation Blues"
"191",1970,"TRBGKOU128F148C6C6","John Mayall","Don't Waste My Time"
"192",1970,"TRADNRG128F4295A0E","Kris Kristofferson","Darby's Castle"
"193",1970,"TRBFNSL128F42776F9","Led Zeppelin","Immigrant Song (Album Version)"
"194",1970,"TRAZRFV128F92FAAB6","Leon Russell","Hummingbird"
"195",1970,"TRBDOMM12903CA0A9B","Minnie Riperton","Completeness"
"196",1970,"TRASYBF128F4249F28","Richie Ray & Bobby Cruz","Guaguanco Raro"
"197",1970,"TRBDSQE128E079325F","Spooky Tooth / Mike Harrison","I Am The Walrus"
"198",1970,"TRAHPBP128E079367D","Taste","On The Boards"
"199",1970,"TRBBVFB128F1461507","Ten Years After","Year 3_000 Blues (2002 Digital Remaster)"
"200",1970,"TRAONBN128F145F0C0","The Edgar Broughton Band","Aphrodite (1999 Digital Remaster)"
"201",1970,"TRANTAN128E078B326","The MC5","The American Ruse (LP Version)"
"202",1970,"TRANRXY128F4222CB4","Tony Joe White","A Man Can Only Stand Just So Much Pain (Bonus Track)"
"203",1970,"TRAOVNA128F14928A1","Young-Holt Unlimited","The Devil Made Me Do Dat (LP Version)"
"204",1970,"TRBGZBM128F14928A3","Young-Holt Unlimited","Wichita Lineman (LP Version)"
"205",1971,"TRAYZWQ128F42752A8","Alice Cooper","Caught In A Dream (Album Version)"
"206",1971,"TRAVFEW128F92E2B47","Alice Cooper","Be My Lover"
"207",1971,"TRAWAXO12903CB2364","Atomic Rooster","The Rock"
"208",1971,"TRABLHU128F1473B67","Baby Huey & The Baby Sitters","California Dreamin' (LP Version)"
"209",1971,"TRAIKVZ12903CBF0F3","Dave And Ansel Collins","Two Four One"
"210",1971,"TRAALZC128F92E11A6","Dolly Parton","Letter To Heaven"
"211",1971,"TRAAIII128F427D5D8","Donny Hathaway","Little Girl (LP Version)"
"212",1971,"TRAPVXU128F149E7CD","Faces","Stay With Me"
"213",1971,"TRAIEWD128F42A0039","Flamin' Groovies","Evil Hearted Ada"
"214",1971,"TRAPMFR128F9316841","Freddie King","Key To The Highway"
"215",1971,"TRBCBYQ128F42981F1","Freddie King","Five Long Years"
"216",1971,"TRAAIDY128F92CA454","Hot Tuna","Candy Man"
"217",1971,"TRAPNDJ128F427AB8A","Janis Joplin","Get It While You Can"
"218",1971,"TRAHOSP128F4260E9B","Jeff Beck Group","Jody"
"219",1971,"TRBHRLX128F93466B9","Julien Clerc","Rolo Le Baroudeur"
"220",1971,"TRAEFON128E078C6F8","MC5","Miss X (LP Version)"
"221",1971,"TRBDVLN128E078C6FB","MC5","Future/Now (LP Version)"
"222",1971,"TRBFPVQ128F428B0D2","The Chieftains","Carolan's Concerto"
"223",1971,"TRAKNLE128F42A7F9E","The Grease Band","Willie And The Pig"
"224",1971,"TRAGVOF128F4292ED0","The Paul Butterfield Blues Band","Pretty Woman (LP Version)"
"225",1971,"TRAWMCL12903CAC63B","Uriah Heep","What Should Be Done"
"226",1971,"TRAVWRV128F427D06A","Vox Dei","Profecias"
"227",1971,"TRAJASJ128F1492899","Young-Holt Unlimited","We've Only Just Begun (LP Version)"
"228",1971,"TRACXUW128F93093F5","Z.Z. Hill","Faithful and True (Collectors Version)"
"229",1971,"TRAYKGV12903CAA787","Z.Z. Hill","It Ain't No Use"
"230",1972,"TRAVMQE12903D08335","Atomic Rooster","Close Your Eyes"
"231",1972,"TRBBMIF12903CA1EB0","Atomic Rooster","Little Bit of Inner Air"
"232",1972,"TRBFFZN12903D08332","Atomic Rooster","Stand By Me"
"233",1972,"TRAHEII128F9307D9A","Blind Lemon Jefferson","Gone Dead On You Blues"
"234",1972,"TRAHSWZ128F9332296","Cheo Feliciano","Juguete"
"235",1972,"TRBGJIZ128F92E42BC","Free","Heartbreaker"
"236",1972,"TRADAYS12903CDBE0F","Furry Lewis","Judge Boushay Blues"
"237",1972,"TRBHBGB128F931E4CF","Hall & Oates","Fall in Philadelphia"
"238",1972,"TRAHDJL128F9305B80","Janis Joplin","Piece Of My Heart"
"239",1972,"TRALIVO128F4279262","Janis Joplin","Down On Me"
"240",1972,"TRAIDGE128F4260E9F","Jeff Beck Group","Ice Cream Cakes"
"241",1972,"TRAUKNJ128F933A413","Johnny Nash","There Are More Questions Than Answers"
"242",1972,"TRATTMT128F149167B","Michael Jackson","Ain't No Sunshine"
"243",1972,"TRAUZTR128F9351D2A","Michael Jackson","I Wanna Be Where You Are"
"244",1972,"TRAJZWM128F4262BBD","Neil Diamond","Song Sung Blue"
"245",1972,"TRBBZQM128F931A529","Neil Diamond","Song Sung Blue"
"246",1972,"TRBENTT128E0781C26","Pink Floyd","The Gold It's In The ... (1996 Digital Remaster)"
"247",1972,"TRAACPE128F421C1B9","Terry Callier","Do You Finally Need A Friend"
"248",1972,"TRANUNR12903CE6E2E","Terry Callier","Occasional Rain"
"249",1972,"TRAWTLK12903CF4B2D","The Chi-Lites","The Coldest Days Of My Life"
"250",1972,"TRBCVKD128F1473B98","The Impressions","Need To Belong To Someone"
"251",1972,"TRAKLHO128F42BA554","The Rolling Stones","Rocks Off"
"252",1972,"TRAZHZI128F930653D","The Sensational Alex Harvey Band","Framed"
"253",1972,"TRAMHIY128F427A892","Tito Puente","China"
"254",1973,"TRBAVWG128F1495881","Bill Cosby","Fat Albert's Car"
"255",1973,"TRAOPRI12903C9FC25","Bruce Springsteen","Rosalita (Come Out Tonight)"
"256",1973,"TRAGSZA128F146A11A","Bryan Ferry","Don't Worry Baby (1999 Digital Remaster)"
"257",1973,"TRAWJAP12903CC515C","Commander Cody & His Lost Planet Airmen","Sister Sue"
"258",1973,"TRARZBQ128F42649A6","Eddie Palmieri","No Pienses Asi"
"259",1973,"TRBDIKL128F42649B0","Eddie Palmieri","Nada De Ti"
"260",1973,"TRAVROB128F9305B80","Eno","Baby's On Fire"
"261",1973,"TRAXDNU128F9341CDE","Faces","My Fault (LP Version)"
"262",1973,"TRAFRLV128F4267ADF","Freddie King","Boogie Man"
"263",1973,"TRAMNDO128F9315128","Jacques Higelin","Quand j'improvise sur mon piano"
"264",1973,"TRAPRWQ128F92E9CCD","Jeanne Pruett","Love Me"
"265",1973,"TRALUZM128C7196779","Jimmy Cliff","Let's Seize The Time"
"266",1973,"TRARIZK128F92FF27A","John Cale","Antarctica Starts Here"
"267",1973,"TRATQSL128F932E2ED","Michael Jackson","Morning Glow"
"268",1973,"TRAVVOP12903CC5771","Nick Ingman","Down Home"
"269",1973,"TRAWBEN128F931012E","Peret","Tócale Las Palmas"
"270",1973,"TRANNXH128F933A6B3","Pescado Rabioso","Aguas Claras De Olimpos"
"271",1973,"TRBFOQI128F93428AC","Pescado Rabioso","¡Hola_ Pequeño Ser!"
"272",1973,"TRATPZY128F930CFD0","Planxty","Follow Me Up To Carlow"
"273",1973,"TRAUMHL128F930CFCB","Planxty","Junior Crehan's Favourite - Corney Is Coming"
"274",1973,"TRARPOQ128F9311C86","Seatrain","Abbeville Fair"
"275",1973,"TRAIPQN128F933A3AA","Sui Generis","Cuando Ya Me Empiece A Quedar Solo"
"276",1973,"TRACHTO12903CBE58B","The Animals_ Sonny Boy Williamson","Bo Diddley"
"277",1973,"TRAUXEU12903CD3CD7","The New York Dolls","Vietnamese Baby"
"278",1974,"TRAEATL128F42690A7","Aerosmith","Lord Of The Thighs"
"279",1974,"TRAZISI128E078EE2F","Aerosmith","Same Old Song And Dance"
"280",1974,"TRARCZH12903CF7D2F","Bad Company","Rock Steady"
"281",1974,"TRBAVMF12903CEA4FB","Bad Company","Rock Steady"
"282",1974,"TRABXHC128F4250CCE","Commander Cody And His Lost Planet Airmen","Crying Time"
"283",1974,"TRAPBNC128F4250CD2","Commander Cody And His Lost Planet Airmen","Riot In Cell Block #9"
"284",1974,"TRAZFKN128F4250CD4","Commander Cody And His Lost Planet Airmen","Too Much Fun"
"285",1974,"TRBDYEF128F423DC43","Eagles","You Never Cry Like A Lover (LP Version)"
"286",1974,"TRAQITZ128F4265E0E","Johnny Cash","Lonesome To The Bone"
"287",1974,"TRACJWY12903CB7DBF","Kris Kristofferson","Same Old Song"
"288",1974,"TRANYSY128F1473B74","Leroy Hutson","Ella Weez"
"289",1974,"TRBHLIH128F1473B78","Leroy Hutson","Could This Be Love"
"290",1974,"TRBDKOV128F4290943","Lou Reed","Sally Can't Dance"
"291",1974,"TRBCXIX12903CE8449","Maria Muldaur","It Ain't The Meat It's The Motion"
"292",1974,"TRBIFUV12903D07374","Minnie Riperton","Lovin' You"
"293",1974,"TRATDTH128F4263AAD","Roy Buchanan","Hey Joe"
"294",1974,"TRAYDJL128F145F261","Suzi Quatro","Too Big"
"295",1974,"TRAUTXS128F932A629","The Chi Lites","Toby"
"296",1974,"TRAADVH128EF34DE7A","The New York Dolls","Human Being"
"297",1974,"TRANVCJ128F425FC37","The New York Dolls","Stranded In The Jungle"
"298",1974,"TRBFNEE128F425C676","The New York Dolls","Human Being"
"299",1974,"TRAMBAG128F427D469","Vox Dei","A Nadie Le Interesa Si Quedás Atrás (Total Que...)"
"300",1975,"TRAGAVB128F932585E","Babe Ruth","Dancer (2007 Digital Remaster)"
"301",1975,"TRAWVNL128F9327983","Bad Company","Call On Me"
"302",1975,"TRAJTYX128F145AD24","Be Bop Deluxe","Between The Worlds"
"303",1975,"TRBFTJP128F426AC3F","Be Bop Deluxe","Music In Dreamland"
"304",1975,"TRASAQI128F426EEA3","Bob Dylan","Simple Twist Of Fate"
"305",1975,"TRBGNGY128F14738B8","Commander Cody And His Lost Planet Airmen","Cajun Baby (LP Version)"
"306",1975,"TRBDSNM128F930A19E","Derek Bailey","M 14"
"307",1975,"TRANQDS12903CE3E1D","Graham Central Station","It's Alright"
"308",1975,"TRAVMXD12903CBBD0B","Jimi Hendrix","Once I Had A Woman"
"309",1975,"TRAWBVW128F932A39F","Little Milton","Packed Up And Took My Mind"
"310",1975,"TRAJZIS128F4288E43","Michael Jackson","We're Almost There"
"311",1975,"TRAIHFF128EF351817","Michael Jackson","Just A Little Bit Of You"
"312",1975,"TRAISDO128F9316BD2","Michael Stanley Band","Lost In The Funhouse Again"
"313",1975,"TRAWCYI128F9316BD9","Michael Stanley Band","Where Have All The Clowns Gone"
"314",1975,"TRAGGXK12903CDA84B","Mongo Santamaria","Lady Marmalade"
"315",1975,"TRBFMGE12903CDECE5","Pierre Perret","Donnez-nous des jardins"
"316",1975,"TRANRDW128E0793D49","Rainbow","Still I'm Sad"
"317",1975,"TRATRMT128F4249901","Righteous Brothers","Little Latin Lupe Lu"
"318",1975,"TRACBQQ128F4263AEB","Stanley Clarke","Journey To Love"
"319",1975,"TRAHLDM128F933A3B1","Sui Generis","Bubulina"
"320",1975,"TRAMBPW128F9337F71","Sui Generis","Zapando Con La Gente"
"321",1975,"TRAERST128F4267A39","The Michael Stanley Band","Waste A Little Time On Me"
"322",1975,"TRARKEH128F1463CB2","The Sensational Alex Harvey Band","Delilah"
"323",1975,"TRAZLVR128E078F044","The Who","Slip Kid"
"324",1976,"TRAPNII12903CEA4F8","Bad Company","Simple Man"
"325",1976,"TRBDWLE128F42B3112","Barry Manilow","This One's For You"
"326",1976,"TRAQTYT12903D134AC","Billie Jo Spears","What I've Got In Mind"
"327",1976,"TRBALVT128F145B6CB","Billie Jo Spears","Misty Blue"
"328",1976,"TRBCSMH128F146A146","Bryan Ferry","2HB (1999 Digital Remaster)"
"329",1976,"TRBGGWQ128F42A88CF","Daryl Hall & John Oates","Rich Girl"
"330",1976,"TRAHFAO12903CBCD36","Dave Baby Cortez","The Happy Organ"
"331",1976,"TRADTBA128F92CA48F","Hot Tuna","Extrication Love Song"
"332",1976,"TRAQDXL128F4260EB8","Jeff Beck","Head For Backstage Pass"
"333",1976,"TRBGEHK12903CEEFC0","John Mayer","Sannyasin"
"334",1976,"TRBBAQJ128F92F1336","John Sebastian","One Step Forward_ Two Steps Back"
"335",1976,"TRAECWE128F1498516","Lee Ritenour / Jeff Mironov","A Little Bit Of This And A Little Bit Of That"
"336",1976,"TRAWAHY128F14AA11E","Leon Russell","Out In The Woods"
"337",1976,"TRALCCO12903CEBB97","Modern Lovers","She cracked"
